Price,Close,High,Low,Open,Volume
Ticker,BNS.TO,BNS.TO,BNS.TO,BNS.TO,BNS.TO
Date,,,,,
2024-01-02,60.43206787109375,60.76605067436747,60.040825672773764,60.288930303896706,8954800
2024-01-03,59.84998321533203,60.164880781589815,59.67821958277698,60.11716947035557,4734300
2024-01-04,60.20304870605469,60.59428726562876,59.82135095226262,59.90723276485886,5137700
2024-01-05,60.50840759277344,60.73742698117534,60.12670982548351,60.23167689349523,3754400
2024-01-08,61.252716064453125,61.32904979143132,60.451150048809204,60.4797797466005,5157400
2024-01-09,60.708797454833984,61.18592148537036,60.30801807416783,61.18592148537036,3467300
2024-01-10,60.68971252441406,60.947357973412075,60.584749095687215,60.584749095687215,3439000
2024-01-11,59.86906814575195,60.64200084795151,59.411029367976305,60.57520428455499,4770200
2024-01-12,60.03128433227539,60.47023419556489,59.73546839476837,59.926317269284525,4563700
2024-01-15,60.059913635253906,60.19351040273292,59.697304758230004,59.98357626540561,2510200
2024-01-16,59.78318405151367,59.8404361664489,59.36331579457773,59.735469102214914,4343600
2024-01-17,59.14384460449219,59.52554238220869,58.94345490925392,59.27743773465103,4079900
2024-01-18,58.5045051574707,59.37286414578761,58.34228232749161,59.26789707464933,4743000
2024-01-19,59.18201446533203,59.28698153506714,58.38045205297454,58.619012251412606,3955800
2024-01-22,58.972076416015625,59.4491967812587,58.50450049655554,59.31560366141296,4633800
2024-01-23,58.35182189941406,59.191551118090985,58.04646515805164,59.1533842555253,2605300
2024-01-24,58.848026275634766,59.10567171920008,58.41862084316555,58.64763658846385,2846600
2024-01-25,59.029335021972656,59.115216837470896,58.47587362428629,58.857571390976176,4041900
2024-01-26,59.52553939819336,59.59233595992426,59.03887457399433,59.08658588378218,5676800
2024-01-29,59.85952377319336,59.88814983178721,59.07704662375081,59.44919994602962,3160900
2024-01-30,60.012203216552734,60.33664523354728,59.62096463489517,59.8786100872267,5067300
2024-01-31,59.99311447143555,60.20304859966414,59.640046415892535,59.640046415892535,4435500
2024-02-01,60.52749252319336,60.62291514443843,59.363317615277275,59.94540506923532,3577400
2024-02-02,60.22213363647461,60.38435281488009,59.840435884718886,60.212589190603964,2503500
2024-02-05,59.725929260253906,60.145793883825775,59.45874301253904,60.10762701996623,3129600
2024-02-06,60.088539123535156,60.18396173919398,59.64958562714196,59.70684138062093,2912400
2024-02-07,59.67821502685547,60.14579093745124,59.649585330188785,60.10762407546139,1623700
2024-02-08,58.88619613647461,59.68775851653961,58.75260301315371,59.64004720680209,2111200
2024-02-09,60.36526870727539,60.37481315332691,58.876655455523995,58.876655455523995,2999600
2024-02-12,60.861473083496094,61.02369590177188,60.308015348522346,60.4225232178032,2568900
2024-02-13,59.96449279785156,60.53703582924547,59.4014905729203,60.317560879206475,3890000
2024-02-14,60.47978210449219,60.73742755382108,60.18396615004649,60.37481503549082,2604300
2024-02-15,60.708797454833984,61.12866208793277,60.327103326600465,60.5942895803779,2838900
2024-02-16,60.93781661987305,61.214547318919365,60.59428935762793,60.70879723166308,2180600
2024-02-20,61.19546127319336,61.36722491230626,60.8137671286068,60.82331157530188,4466300
2024-02-21,60.97598648071289,61.27179878885832,60.794678405253805,61.01415334489512,1384000
2024-02-22,60.96644592285156,61.46265523040366,60.94736066947341,61.224095023386624,2791200
2024-02-23,61.319515228271484,61.529449366999714,61.06186977805223,61.07141058429454,2838900
2024-02-26,60.947357177734375,61.53898543800245,60.651544867670175,61.252717574150445,2487600
2024-02-27,62.88446807861328,63.5524337042222,61.872967913760675,61.901601252240454,9925900
2024-02-28,62.10198974609375,62.93217453906573,61.92068167393704,62.84629636611517,3879600
