Price,Close,High,Low,Open,Volume
Ticker,BTC-CAD,BTC-CAD,BTC-CAD,BTC-CAD,BTC-CAD
Date,,,,,
2024-01-02,58496.80078125,58518.890625,55934.6328125,56021.1015625,24405353621
2024-01-03,59893.0078125,60787.09375,58509.54296875,58523.0390625,52402452737
2024-01-04,57198.16015625,60643.71875,54474.234375,59897.84765625,61862506158
2024-01-05,59008.25,59801.55859375,56966.0234375,57208.35546875,40667536303
2024-01-06,59060.9765625,59302.5625,57117.171875,59025.6875,43244588847
2024-01-07,58828.94921875,59147.82421875,58141.5,59082.7265625,21521309512
2024-01-08,58709.3828125,59506.15234375,58347.9765625,58841.34765625,25826265260
2024-01-09,62712.4296875,63023.9921875,57782.22265625,58716.87890625,57072364538
2024-01-10,61781.46875,64156.0078125,60594.4375,62735.3125,53321027208
2024-01-11,62388.94921875,63756.74609375,59523.34765625,61757.109375,67054405000
2024-01-12,62036.296875,65598.8828125,61033.5234375,62426.8046875,61320724285
2024-01-13,57502.5234375,62226.828125,56228.57421875,62017.84765625,58145982020
2024-01-14,57488.05078125,58014.4296875,56980.51171875,57430.4375,27644606470
2024-01-15,56036.80078125,57787.57421875,55949.49609375,57487.890625,23491208339
2024-01-16,57120.56640625,58202.2109375,55914.99609375,55927.93359375,29990229549
2024-01-17,58216.8828125,58797.828125,56746.65234375,57103.59765625,32461296583
2024-01-18,57711.34375,58255.30078125,57062.43359375,58186.06640625,28153438506
2024-01-19,55644.15625,57866.98828125,54857.56640625,57710.8828125,34008341751
2024-01-20,56032.94140625,56612.08984375,54303.60546875,55666.2734375,34671753372
2024-01-21,56096.4609375,56382.30078125,55801.9296875,56041.265625,15599741299
2024-01-22,55806.58203125,56351.9765625,55759.07421875,56104.41015625,12551433342
2024-01-23,53249.80859375,55911.83203125,53150.515625,55817.15234375,42239721077
2024-01-24,53619.16015625,54041.875,51927.12890625,53265.1015625,39353663919
2024-01-25,54208.44921875,54463.44140625,53433.4375,53662.28515625,30243606906
2024-01-26,53832.37109375,54362.9140625,53346.23046875,54206.38671875,24927661825
2024-01-27,56279.23828125,56757.1875,53669.1015625,53836.42578125,34451229658
2024-01-28,56699.9140625,56801.6484375,55772.71875,56277.55859375,15376993285
2024-01-29,56563.3046875,57611.421875,56122.7890625,56708.0859375,22685516597
2024-01-30,58057.9765625,58082.1328125,56288.26953125,56557.01171875,27720457444
2024-01-31,57564.44140625,58825.3359375,57239.64453125,58074.05078125,31953782374
2024-02-01,57198.19140625,58550.6328125,56831.171875,57555.921875,33142333730
2024-02-02,57657.140625,57877.65234375,56241.65625,57180.9375,28676069253
2024-02-03,58195.10546875,58432.64453125,57157.9765625,57659.63671875,25069608688
2024-02-04,57934.20703125,58429.69140625,57797.5078125,58193.8984375,15051116418
2024-02-05,57363.44921875,58076.23046875,57048.390625,57937.83203125,19939767111
2024-02-06,57776.04296875,58741.94140625,56991.1484375,57355.421875,25347881713
2024-02-07,58122.30078125,58531.6328125,57561.96875,57774.31640625,22661565065
2024-02-08,59666.421875,59694.68359375,57678.03125,58129.515625,28443105400
2024-02-09,60977.26953125,61328.90234375,59685.140625,59685.140625,35204774048
2024-02-10,63594.5,64829.7734375,60929.21875,60971.63671875,53032426352
2024-02-11,64436.2890625,64941.9609375,63268.2421875,63603.03515625,22119361636
2024-02-12,64995.20703125,65467.6953125,64228.73828125,64433.171875,25995796204
2024-02-13,67224.234375,67641.0625,64288.7109375,64998.53125,46439638707
2024-02-14,67481.6875,67752.1796875,65649.859375,67201.546875,48286316669
2024-02-15,70167.0234375,70491.296875,66844.6328125,67469.484375,52944222415
2024-02-16,69940.71875,71287.015625,69172.4609375,70180.6796875,51930960715
2024-02-17,70358.4296875,70903.71875,69627.0234375,69939.6015625,38012513603
2024-02-18,69687.75,70401.203125,68347.859375,70360.4140625,26990082776
2024-02-19,70252.125,70593.6796875,69108.6875,69686.3671875,23715507019
2024-02-20,69900.2890625,70712.8828125,69756.609375,70268.65625,28838308002
2024-02-21,70709.4375,71514.6796875,68691.0625,69898.3828125,45107222420
2024-02-22,69958.6328125,70823.0078125,68408.390625,70694.1015625,38630228020
2024-02-23,69174.2421875,70136.3125,68749.4296875,69979.5,34265435124
2024-02-24,68419.640625,69447.5390625,68190.140625,69145.8359375,28897629108
2024-02-25,69551.3671875,69703.890625,68222.0625,68425.609375,20464520131
2024-02-26,69896.7734375,70131.234375,69194.0625,69543.4296875,20824827543
2024-02-27,73615.0,74229.7109375,68871.84375,69893.1328125,46006555380
2024-02-28,77246.2734375,77857.09375,73603.46875,73610.8984375,67329502156
2024-02-29,84869.1875,86730.5703125,76794.609375,77226.953125,113022376766
2024-03-01,83037.2734375,86307.9765625,82117.953125,84861.578125,88869339766
2024-03-02,84785.015625,85628.84375,82458.984375,82996.1328125,54567060363
2024-03-03,84227.2265625,84809.546875,83721.3515625,84772.8203125,32436963993
2024-03-04,85601.1328125,85708.109375,83437.9765625,84229.578125,35577800078
2024-03-05,92766.9453125,93044.84375,84514.890625,85559.984375,95943856993
2024-03-06,86709.3359375,93812.8046875,80644.625,92781.390625,139714850814
2024-03-07,89330.3203125,91916.90625,85369.171875,86675.1640625,92902390798
2024-03-08,90036.9921875,91648.546875,88748.6875,89320.78125,63216536077
2024-03-09,92386.125,94348.2578125,89181.0234375,90053.9609375,80080777218
2024-03-10,92661.859375,92897.4765625,92058.8671875,92384.9921875,29232454550
2024-03-11,93046.6796875,94699.53125,92061.53125,92663.71875,48106141054
2024-03-12,97204.9921875,98254.4140625,90573.0625,93047.7109375,88569624155
2024-03-13,96452.921875,98407.34375,92786.359375,97206.6328125,84407513448
2024-03-14,98412.4140625,99332.5390625,96237.25,96454.0390625,64921796916
2024-03-15,96650.0625,99397.765625,92814.453125,98406.859375,80673634896
2024-03-16,93899.8359375,97978.5,88897.4296875,96638.265625,105963658206
2024-03-17,88368.0859375,94769.109375,87673.046875,93884.5625,63375152286
2024-03-18,92644.46875,93239.1328125,87326.5859375,88369.75,60575118929
2024-03-19,91430.734375,93259.2265625,90191.8984375,92618.3046875,66678257229
2024-03-20,84049.6875,92191.515625,83511.671875,91440.9375,100751720100
2024-03-21,91506.203125,91863.1015625,82565.1171875,84073.28125,89995727640
2024-03-22,88597.734375,91883.9375,87394.515625,91503.390625,60173685449
2024-03-23,86901.75,90339.140625,85019.3046875,88595.7578125,56411091919
2024-03-24,87287.953125,89896.1484375,85893.1015625,86934.3984375,33708076505
2024-03-25,91520.3671875,92013.2109375,86965.9140625,87299.6015625,37034155392
2024-03-26,95043.9453125,96674.7421875,90299.6015625,91520.265625,58011128551
2024-03-27,95059.1640625,97124.7890625,94147.359375,95006.6015625,48910240284
2024-03-28,94360.1484375,97578.1953125,92867.1015625,95064.671875,55466613810
2024-03-29,95771.3359375,96958.8046875,93523.03125,94356.65625,46535193585
2024-03-30,94421.71875,96005.6953125,93510.1015625,95771.125,34085619189
2024-03-31,94087.328125,95046.7578125,94027.5625,94422.546875,23142100271
2024-04-01,96460.5,96520.171875,94059.71875,94090.6640625,27113765166
2024-04-02,94612.5078125,96471.9140625,92501.8203125,96460.2734375,47336733178
