Price,Close,High,Low,Open,Volume
Ticker,GD,GD,GD,GD,GD
Date,,,,,
2024-01-02,253.47744750976562,255.9671415059911,252.51684937564747,254.52625926134445,992500
2024-01-03,251.45828247070312,256.21221622037365,251.41906644335802,254.40863791927165,1378600
2024-01-04,251.1053924560547,253.86953901754313,250.9289652065291,253.6244911999586,1096800
2024-01-05,248.8705596923828,251.9091586391251,248.39027553797504,251.50727662526936,959600
2024-01-08,248.79214477539062,248.82154931572057,245.91038017080598,247.98838078895545,1257100
2024-01-09,246.2632598876953,248.7431426025462,245.92018696082144,248.7431426025462,1256000
2024-01-10,246.27305603027344,247.99818727721862,245.84176947940418,246.26325950194706,877900
2024-01-11,244.989013671875,247.35127827281337,243.17565380086558,246.7729540441441,1500100
2024-01-12,249.7625274658203,249.8605525724307,246.3612626665732,246.3612626665732,1105400
2024-01-16,245.6849365234375,249.6547141692402,244.77336581894772,249.25283215785933,1038300
2024-01-17,245.0183868408203,247.10619880946132,244.06760021374635,244.2930399939868,882700
2024-01-18,247.28480529785156,247.43262352939485,243.74724181416528,245.4026977487516,907700
2024-01-19,245.69833374023438,247.8267900988119,245.3435910138048,247.8267900988119,1410200
2024-01-22,246.11219787597656,247.64942638192238,245.06768180204008,245.85600064295122,2043300
2024-01-23,245.72787475585938,248.41801314807176,244.25964625656502,246.69357240041617,1775600
2024-01-24,257.3653869628906,259.8387373447195,247.94501580113004,248.63480413711866,2749400
2024-01-25,261.9770202636719,262.08542931793806,257.34568322109834,257.93692605492,1968800
2024-01-26,261.1985778808594,264.05621646951494,258.222666668958,262.66680634700606,1329900
2024-01-29,260.912841796875,262.02634276589913,259.3559311976181,260.70591730276635,961700
2024-01-30,264.74603271484375,265.43579102799316,262.10515181052017,262.40078829203793,2040300
2024-01-31,261.1197509765625,265.56389102072137,259.98655300327687,265.0711936347831,2305000
2024-02-01,262.9723205566406,263.3369118420667,259.22783213048734,261.77013762877215,1715100
2024-02-02,261.3956298828125,262.509130656917,260.4693564993198,261.85876657455884,1949400
2024-02-05,261.64202880859375,263.1694088637393,258.6661471981283,260.1442394678319,1032400
2024-02-06,263.78033447265625,263.8788799663021,260.7748923835632,262.213560360833,814600
2024-02-07,265.1598815917969,266.2043976680147,264.03654716365395,265.5638970660868,1058700
2024-02-08,265.0711975097656,265.50477362147853,263.2186505000581,265.0711975097656,617000
2024-02-09,266.194580078125,267.4065965015686,265.1303367964242,266.1255952211535,878200
2024-02-12,265.5047912597656,267.01244418006,265.27813961799325,266.03691289982964,696300
2024-02-13,263.31719970703125,266.94344535444736,261.23800104128236,265.9876111953981,1164200
2024-02-14,265.16973876953125,265.2879813304994,259.2573701462278,264.39126848067497,1629800
2024-02-15,266.05657958984375,267.0025501193755,264.61791169070125,265.74124605604624,801500
2024-02-16,265.5047912597656,267.2193686788043,264.9628361200519,266.03691289982964,702600
2024-02-20,265.002197265625,267.98794209176594,264.43068155439585,266.45072872019995,697500
2024-02-21,267.9288330078125,268.3032878333907,264.98251225686084,266.2142557242302,691300
2024-02-22,268.3525085449219,268.4806146593639,266.70691633964094,267.4164016819017,636300
2024-02-23,269.7518310546875,270.8850290794487,268.1949204760191,268.52008753388986,663900
2024-02-26,269.032470703125,270.57954771745824,268.60875816702975,270.185395821745,629700
2024-02-27,269.70257568359375,269.801091108622,266.815345991167,268.3525595127163,554400
2024-02-28,270.3036193847656,270.64851354622186,268.5003603044863,269.6828159085164,569800
2024-02-29,269.2591247558594,270.9638685582262,268.3919725343517,270.9638685582262,886300
2024-03-01,267.9781188964844,269.308377774356,267.09123954875423,269.308377774356,651400
